FrameId,Event,Type,OId,HId,D
1,4,MATCH,gt_1,det_2,0.038327535793476045
1,5,MATCH,gt_2,det_1,0.09146584061823429
2,4,MATCH,gt_1,det_2,0.04031128874149266
2,5,MATCH,gt_2,det_1,0.08705170877128227
3,4,MATCH,gt_1,det_2,0.04933558553417844
3,5,MATCH,gt_2,det_1,0.09334880824091875
4,4,MATCH,gt_1,det_2,0.07494664769021031
4,5,MATCH,gt_2,det_1,0.09588534820294217
5,4,MATCH,gt_1,det_2,0.07422263805605343
5,5,MATCH,gt_2,det_1,0.062297672508687715
6,4,MATCH,gt_1,det_2,0.06627971031922021
6,5,MATCH,gt_2,det_1,0.08103085831953209
7,4,MATCH,gt_1,det_2,0.07487322618934082
7,5,MATCH,gt_2,det_1,0.0792527602042989
8,4,MATCH,gt_1,det_2,0.0654980915752489
8,5,MATCH,gt_2,det_1,0.08660831368869865
9,4,MATCH,gt_1,det_2,0.07497332859090547
9,5,MATCH,gt_2,det_1,0.04747630988187878
10,4,MATCH,gt_1,det_2,0.07608547824650953
10,5,MATCH,gt_2,det_1,0.11759676866308912
11,4,MATCH,gt_1,det_2,0.047927027865288234
11,5,MATCH,gt_2,det_1,0.05609812831102256
12,4,MATCH,gt_1,det_2,0.0667907179179868
12,5,MATCH,gt_2,det_1,0.05171073389539202
13,4,MATCH,gt_1,det_2,0.07168681887209229
13,5,MATCH,gt_2,det_1,0.0787781695649241
14,4,MATCH,gt_1,det_2,0.0853814968245472
14,5,MATCH,gt_2,det_1,0.11227199116431445
15,4,MATCH,gt_1,det_2,0.0899166280506543
15,5,MATCH,gt_2,det_1,0.03906404996924812
16,4,MATCH,gt_1,det_2,0.0708307842678616
16,5,MATCH,gt_2,det_1,0.10957189420649611
17,4,MATCH,gt_1,det_2,0.07195137246779844
17,5,MATCH,gt_2,det_1,0.09866103587536335
18,4,MATCH,gt_1,det_2,0.054120236510941236
18,5,MATCH,gt_2,det_1,0.0789936706325263
19,4,MATCH,gt_1,det_2,0.06881860213634128
19,5,MATCH,gt_2,det_1,0.07766595135578908
20,4,MATCH,gt_1,det_2,0.055326304774494135
20,5,MATCH,gt_2,det_1,0.05170106381884288
21,4,MATCH,gt_1,det_2,0.04662617290749852
21,5,MATCH,gt_2,det_1,0.04588027898781732
22,4,MATCH,gt_1,det_2,0.05806031346797792
22,5,MATCH,gt_2,det_1,0.07529940238806611
23,4,MATCH,gt_1,det_2,0.06315853069855376
23,5,MATCH,gt_2,det_1,0.08243785538210165
24,4,MATCH,gt_1,det_2,0.0729040465269267
24,5,MATCH,gt_2,det_1,0.049000000000001515
25,4,MATCH,gt_1,det_2,0.07881624198095252
25,5,MATCH,gt_2,det_1,0.0993680028983176
26,4,MATCH,gt_1,det_2,0.09064766957842892
26,5,MATCH,gt_2,det_1,0.08002499609497302
27,4,MATCH,gt_1,det_2,0.07769813382572388
27,5,MATCH,gt_2,det_1,0.04652956049652697
28,4,MATCH,gt_1,det_2,0.05806031346798258
28,5,MATCH,gt_2,det_1,0.07788452991448129
29,4,MATCH,gt_1,det_2,0.04713809499757125
29,5,MATCH,gt_2,det_1,0.06568865959966112
30,4,MATCH,gt_1,det_2,0.04216633728461659
30,5,MATCH,gt_2,det_1,0.0639140047251004
31,4,MATCH,gt_1,det_2,0.06224146527838178
31,5,MATCH,gt_2,det_1,0.055605755097831354
32,4,MATCH,gt_1,det_2,0.03367491648096643
32,5,MATCH,gt_2,det_1,0.06577233460962263
33,4,MATCH,gt_1,det_2,0.09172785836374922
33,5,MATCH,gt_2,det_1,0.09334880824091951
34,4,MATCH,gt_1,det_2,0.0786765530510832
34,5,MATCH,gt_2,det_1,0.06532993188424752
35,4,MATCH,gt_1,det_2,0.06981403870282561
35,5,MATCH,gt_2,det_1,0.10770793842610031
36,4,MATCH,gt_1,det_2,0.07708436936240849
36,5,MATCH,gt_2,det_1,0.11364418154925388
37,4,MATCH,gt_1,det_2,0.07445804187594347
37,5,MATCH,gt_2,det_1,0.11102252023801323
38,4,MATCH,gt_1,det_2,0.09376566535784821
38,5,MATCH,gt_2,det_1,0.09916652661054692
39,4,MATCH,gt_1,det_2,0.08761849119905948
39,5,MATCH,gt_2,det_1,0.08523496934944098
40,4,MATCH,gt_1,det_2,0.05274466797696083
40,5,MATCH,gt_2,det_1,0.09310746479203612
41,4,MATCH,gt_1,det_2,0.062104750220898085
41,5,MATCH,gt_2,det_1,0.09429209935090102
42,4,MATCH,gt_1,det_2,0.08682165628459278
42,5,MATCH,gt_2,det_1,0.1288021738946999
43,4,MATCH,gt_1,det_2,0.08007496487667101
43,5,MATCH,gt_2,det_1,0.09932774033471248
44,4,MATCH,gt_1,det_2,0.09695875411740801
44,5,MATCH,gt_2,det_1,0.12303251602726797
45,4,MATCH,gt_1,det_2,0.07151223671512416
45,5,MATCH,gt_2,det_1,0.08165169930870954
46,4,MATCH,gt_1,det_2,0.05409251334519616
46,5,MATCH,gt_2,det_1,0.06414047084329733
47,4,MATCH,gt_1,det_2,0.10473776778220935
47,5,MATCH,gt_2,det_1,0.09940824915468768
48,4,MATCH,gt_1,det_2,0.21330494602798156
48,5,MATCH,gt_2,det_1,0.10379788051786004
49,4,MATCH,gt_1,det_2,0.13833835332256975
49,5,MATCH,gt_2,det_1,0.07738862965578476
50,4,MATCH,gt_1,det_2,0.15600641012471445
50,5,MATCH,gt_2,det_1,0.12448293055676447
51,4,MATCH,gt_1,det_2,0.14878003898372846
51,5,MATCH,gt_2,det_1,0.097744565066298
52,4,MATCH,gt_1,det_2,0.09690201236300544
52,5,MATCH,gt_2,det_1,0.08837420438114271
53,4,MATCH,gt_1,det_2,0.03535533905932919
53,5,MATCH,gt_2,det_1,0.07971198153351874
54,4,MATCH,gt_1,det_2,0.1007571337424799
54,5,MATCH,gt_2,det_1,0.26078926514779555
55,4,MATCH,gt_1,det_2,0.15577226967596003
55,5,MATCH,gt_2,det_1,0.37177107834509887
56,4,MATCH,gt_1,det_2,0.09701030873056894
56,5,MATCH,gt_2,det_1,0.4489448854860462
57,4,MATCH,gt_1,det_2,0.10838819123871171
57,5,MATCH,gt_2,det_1,0.46359627932510744
58,4,MATCH,gt_1,det_2,0.13675159962501443
58,5,MATCH,gt_2,det_1,0.4231632820381591
59,4,MATCH,gt_1,det_2,0.05190375708944469
59,5,MATCH,gt_2,det_1,0.42434391135262245
60,4,MATCH,gt_2,det_1,0.27608875384557013
60,5,MISS,gt_1,,
60,6,FP,,det_2,
61,4,MATCH,gt_1,det_2,0.0413037528561259
61,5,MATCH,gt_2,det_1,0.09920685460188707
62,4,MATCH,gt_1,det_2,0.07904429138147583
62,5,MATCH,gt_2,det_1,0.0398371685740844
63,4,MATCH,gt_1,det_2,0.07201388754955813
