FrameId,Event,Type,OId,HId,D
1,20,MATCH,gt_1,det_12,0.0408166632639172
1,21,MATCH,gt_2,det_14,0.06952697318307542
1,22,MATCH,gt_3,det_15,0.06031583540000125
1,23,MATCH,gt_4,det_13,0.12152777460317436
1,24,MISS,gt_5,,
2,20,MATCH,gt_1,det_12,0.025612496949731417
2,21,MATCH,gt_2,det_14,0.0490102030193716
2,22,MATCH,gt_3,det_15,0.07805767098754601
2,23,MATCH,gt_4,det_13,0.09369631796394126
2,24,MISS,gt_5,,
3,25,MATCH,gt_1,det_12,0.03028200785945348
3,26,MATCH,gt_2,det_14,0.048785243670601705
3,27,MATCH,gt_3,det_15,0.08077747210701787
3,28,MATCH,gt_4,det_13,0.10632967600815868
3,29,MATCH,gt_5,det_16,0.1164560002747815
4,25,MATCH,gt_1,det_12,0.05574047003748816
4,26,MATCH,gt_2,det_14,0.024738633753706257
4,27,MATCH,gt_3,det_15,0.10679887639858357
4,28,MATCH,gt_4,det_13,0.09547250913221036
4,29,MATCH,gt_5,det_16,0.2477781265568046
5,25,MATCH,gt_1,det_12,0.05241183072551552
5,26,MATCH,gt_2,det_14,0.06466065264130949
5,27,MATCH,gt_3,det_15,0.10218121158021157
5,28,MATCH,gt_4,det_13,0.05666568626602916
5,29,MATCH,gt_5,det_16,0.15053903148353268
6,25,MATCH,gt_1,det_12,0.057445626465381164
6,26,MATCH,gt_2,det_14,0.01819340539865953
6,27,MATCH,gt_3,det_15,0.03201562118716443
6,28,MATCH,gt_4,det_13,0.08915155635209092
6,29,MATCH,gt_5,det_16,0.22744230037528124
7,25,MATCH,gt_1,det_12,0.0684251415782241
7,26,MATCH,gt_2,det_14,0.09374966666607418
7,27,MATCH,gt_3,det_15,0.06201612693485449
7,28,MATCH,gt_4,det_13,0.09207062506576129
7,29,MATCH,gt_5,det_16,0.12391125856838006
8,25,MATCH,gt_1,det_12,0.036180105030251535
8,26,MATCH,gt_2,det_14,0.06081940479814017
8,27,MATCH,gt_3,det_15,0.02360084744241128
8,28,MATCH,gt_4,det_13,0.104541857645634
8,29,MATCH,gt_5,det_16,0.2083530657321844
9,25,MATCH,gt_1,det_12,0.10830050784738009
9,26,MATCH,gt_2,det_14,0.09119758768739483
9,27,MATCH,gt_3,det_15,0.03931920650267538
9,28,MATCH,gt_4,det_13,0.05808614292583053
9,29,MATCH,gt_5,det_16,0.12400403219250603
10,25,MATCH,gt_1,det_12,0.1055414610473054
10,26,MATCH,gt_2,det_14,0.06661080993352334
10,27,MATCH,gt_3,det_15,0.047686476070265
10,28,MATCH,gt_4,det_13,0.08420807562223462
10,29,MATCH,gt_5,det_16,0.13894603268895434
11,25,MATCH,gt_1,det_12,0.12097107092193551
11,26,MATCH,gt_2,det_14,0.05288667128870936
11,27,MATCH,gt_3,det_15,0.05202883815731448
11,28,MATCH,gt_4,det_13,0.1061084351029641
11,29,MATCH,gt_5,det_16,0.08060397012554628
12,25,MATCH,gt_1,det_12,0.08132650244539004
12,26,MATCH,gt_2,det_14,0.07672027111526639
12,27,MATCH,gt_3,det_15,0.03407345007480154
12,28,MATCH,gt_4,det_13,0.2030689538063367
12,29,MATCH,gt_5,det_16,0.11102252023801311
13,25,MATCH,gt_1,det_12,0.09403722667114303
13,26,MATCH,gt_2,det_14,0.076406805979571
13,27,MATCH,gt_3,det_15,0.024738633753706468
13,28,MATCH,gt_4,det_13,0.18329757226979296
13,29,MATCH,gt_5,det_16,0.0946625585963113
14,25,MATCH,gt_1,det_12,0.08208532146492595
14,26,MATCH,gt_2,det_14,0.062040309476984516
14,27,MATCH,gt_3,det_15,0.022226110770893197
14,28,MATCH,gt_4,det_13,0.1298191049114111
14,29,MATCH,gt_5,det_16,0.05415717865620421
15,25,MATCH,gt_1,det_12,0.11923086848631254
15,26,MATCH,gt_2,det_14,0.1157281296833231
15,27,MATCH,gt_3,det_15,0.023769728648009573
15,28,MATCH,gt_4,det_13,0.1434851908734835
15,29,MATCH,gt_5,det_16,0.040755367744630254
16,25,MATCH,gt_1,det_12,0.0872066511224901
16,26,MATCH,gt_2,det_14,0.0920923449587432
16,27,MATCH,gt_3,det_15,0.03849675310983964
16,28,MATCH,gt_4,det_13,0.1822223915988374
16,29,MATCH,gt_5,det_16,0.04491102314577228
17,25,MATCH,gt_1,det_12,0.09462557793746841
17,26,MATCH,gt_2,det_14,0.10416813332300762
17,27,MATCH,gt_3,det_15,0.009848857801795606
17,28,MATCH,gt_4,det_13,0.12307314898059661
17,29,MATCH,gt_5,det_16,0.06447480127925974
18,25,MATCH,gt_1,det_12,0.08888756943465351
18,26,MATCH,gt_2,det_14,0.08479386770280005
18,27,MATCH,gt_3,det_15,0.01841195263952193
18,28,MATCH,gt_4,det_13,0.09794896630388726
18,29,MATCH,gt_5,det_16,0.07439085965358898
19,25,MATCH,gt_1,det_12,0.11098198051936249
19,26,MATCH,gt_2,det_14,0.08811356308764287
19,27,MATCH,gt_3,det_15,0.03376388603226803
19,28,MATCH,gt_4,det_13,0.059312730505347765
19,29,MATCH,gt_5,det_16,0.05201922721455996
20,25,MATCH,gt_1,det_12,0.07039176088151267
20,26,MATCH,gt_2,det_14,0.09041017641836556
20,27,MATCH,gt_3,det_15,0.04036087214122138
20,28,MATCH,gt_4,det_13,0.0677347768875045
20,29,MATCH,gt_5,det_16,0.04901020301937177
21,25,MATCH,gt_1,det_12,0.08289752710425308
21,26,MATCH,gt_2,det_14,0.06288879073412015
21,27,MATCH,gt_3,det_15,0.04244997055358202
21,28,MATCH,gt_4,det_13,0.08699425268372629
21,29,MATCH,gt_5,det_16,0.0723394774656265
22,25,MATCH,gt_1,det_12,0.07571657678474507
22,26,MATCH,gt_2,det_14,0.08043631020876045
22,27,MATCH,gt_3,det_15,0.040509258201058274
22,28,MATCH,gt_4,det_13,0.09944345126754214
22,29,MATCH,gt_5,det_16,0.03558089374931467
23,25,MATCH,gt_2,det_14,0.08764701934464168
23,26,MATCH,gt_4,det_13,0.043462627624201285
23,27,MATCH,gt_5,det_16,0.06725325270944153
23,28,MISS,gt_1,,
23,29,MISS,gt_3,,
23,30,FP,,det_12,
23,31,FP,,det_15,
24,25,MATCH,gt_1,det_12,0.05221110992882655
24,26,MATCH,gt_2,det_14,0.11514773119779662
24,27,MATCH,gt_3,det_15,0.024083189157584298
24,28,MATCH,gt_4,det_13,0.054990908339469874
24,29,MATCH,gt_5,det_16,0.08495292814258963
25,25,MATCH,gt_1,det_12,0.06552861970162265
25,26,MATCH,gt_2,det_14,0.044564559910314994
25,27,MATCH,gt_3,det_15,0.011704699910719778
25,28,MATCH,gt_4,det_13,0.09362691920596365
25,29,MATCH,gt_5,det_16,0.07529940238806662
26,25,MATCH,gt_1,det_12,0.06603786792439477
26,26,MATCH,gt_2,det_14,0.11365737987477935
26,27,MATCH,gt_3,det_15,0.01720465053408532
26,28,MATCH,gt_4,det_13,0.10826818553942784
26,29,MATCH,gt_5,det_16,0.07107038764492554
27,25,MATCH,gt_1,det_12,0.04370354676682458
27,26,MATCH,gt_2,det_14,0.0510098029794274
27,27,MATCH,gt_3,det_15,0.022561028345356744
27,28,MATCH,gt_4,det_13,0.12363251999372975
27,29,MATCH,gt_5,det_16,0.07016409338115895
28,25,MATCH,gt_1,det_12,0.06491532946846912
28,26,MATCH,gt_2,det_14,0.1061602562167215
28,27,MATCH,gt_3,det_15,0.025709920264364926
28,28,MATCH,gt_4,det_13,0.10918791141880127
28,29,MATCH,gt_5,det_16,0.07406753674856496
29,25,MATCH,gt_1,det_12,0.04903060268852568
29,26,MATCH,gt_2,det_14,0.11127443551867602
29,27,MATCH,gt_3,det_15,0.034249087579087074
29,28,MATCH,gt_4,det_13,0.11834694757364876
29,29,MATCH,gt_5,det_16,0.07150524456289967
30,25,MATCH,gt_1,det_12,0.03408812109811637
30,26,MATCH,gt_2,det_14,0.07145628033979937
30,27,MATCH,gt_3,det_15,0.052952809179495186
30,28,MATCH,gt_4,det_13,0.10433599570617988
30,29,MATCH,gt_5,det_16,0.028337254630610494
31,25,MATCH,gt_1,det_12,0.04029888335921657
31,26,MATCH,gt_2,det_14,0.1000049998750062
31,27,MATCH,gt_3,det_15,0.09720596689504185
31,28,MATCH,gt_4,det_13,0.06691038783328043
